Sentence,Paper Name,Intrinsic Hallucination,Extrinsic Hallucination,Aspect,Hallucination,Temperature
CRISP combines a pre-trained ViT backbone with DPT and FiLM to estimate 6D pose and shape.,CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Methodology,0,0.8
CRISP is optimized using a self-training pipeline based on correct-and-certify.,CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Methodology,0,0.8
"CRISP shows high performance on all three datasets (YCBV, SPE3R, and NOCS) with benchmarks.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Main Results,0,0.8
CRISP also shows ability to generalize to unseen objects.,CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Main Results,0,0.8
The self-training pipeline is self-supervised domain adaptation.,CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Methodology,0,0.8
CRISP shows significant performance improvements with self-training.,CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Main Results,0,0.8
"Overall, the paper shows the capability to develop methods that bridge large domain gaps and work well at test-time.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Paper Goal,0,0.8
The resulting document can be found here: [CRISP: a category-agnostic object pose and shape estimation pipeline for real-time image processing](https://github.com/QwenScience/crisp),CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,Yes,Contribution,1,0.8
"Note that the results and findings are only significant with the participation of the team mentioned in the paper, and should not be used for publication or commercial purposes without permission from the authors.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,Yes,Main Results,1,0.8
Vision-Language-Action Models (VLAs) have proven promising in leveraging pretrained vision-language models and diverse robot demonstrations for learning generalizable sensorimotor control.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Motivation,0,0.8
The challenge is to integrate explicit visual reasoning commands into models trained on large vision-language models.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Motivation,0,0.8
"This paper introduces CoT-VLA, a new approach that leverages explicit visual chain-of-thought reasoning.",CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Paper Goal,0,0.8
To leverage explicit visual chain-of-thought reasoning to improve modeling of natural language instructions and visual observations.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Paper Goal,0,0.8
To improve evaluation performance and conceptually understand the relationship between vision and action.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Paper Goal,0,0.8
CoT-VLA incorporates explicit visual reasoning into the process of robot actions generation.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Methodology,0,0.8
"We design CoT-VLA with a visual chain-of-thought mechanism, combining causal attention with full attention for image and text generation.",CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,Yes,No,Methodology,1,0.8
"CoT-VLA outperforms DDoCA in multiple tasks, such as LIBERO-Spatial (17%), LIBERO-Object (17%), LIBERO-Goal (16%), and LIBERO-Long (17%), by over 17%, 16%, 16%, and 17% respectively, in a wide range of tasks.",CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,Yes,Main Results,1,0.8
CoT-VLA achieves state-of-the-art performance across a wide range of tasks using a state-of-the-art VILA-U model.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Main Results,0,0.8
Our deployment strategy is to pretrain the CoT-VLA on both robot demonstrations and action-less videos.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Methodology,0,0.8
"CoT-VLA evolved from DDoCA, a state-of-the-art VILA-U pre-trained on OpenX dataset.",CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,Yes,Methodology,1,0.8
"The introduction of CoT-VLA breaks the historical bottleneck of pre-training large models on small-scale domains, such as DDoCA, while still retaining the ability to learn new tasks.",CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,Yes,Contribution,1,0.8
"CoT-VLA uses a hybrid attention mechanism, combining causal attention for visual information and full attention for action generation.",CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Methodology,0,0.8
CoT-VLA is a new approach that combines explicit visual reasoning into the process of robot action generation.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Contribution,0,0.8
It can improve the understanding and reasoning capability of large vision-language models by leveraging the rich information contained in the text and images.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Motivation,0,0.8
Our approach demonstrates robust performance across various tasks that traditional methods have struggled to achieve.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Main Results,0,0.8
This work represents an important step forward in enabling robots to interact and learn through the integration of deep learning methods with natural language understanding and visual recognition.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Paper Goal,0,0.8
"FATE (Full-Head Avatar Reconstruction and Completion) is a novel method to reconstruct, edit, and complete an editable, full head avatar from a monocular video.",FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,No,Yes,Paper Goal,1,0.8
FATE integrates a sampling-based densification strategy to improve rendering efficiency and an optional full-head completion technique to recover non-frontal areas.,FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,No,No,Contribution,0,0.8
It also proposes a universal completion framework to synthesize a 360-degree renderable head.,FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,No,No,Contribution,0,0.8
FATE outperforms previous methods in both qualitative and quantitative evaluations.,FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,No,No,Main Results,0,0.8
FATE is the first animatable and full-head head reconstruction method that converges to the state-of-the-art while incorporating the novel sampling-based densification approach.,FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,No,No,Contribution,0,0.8
"FATE also addresses the challenges of model inefficiency and pose invariance, achieving superior results compared to previous methods.",FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,Yes,No,Contribution,1,0.8
"FATE has a scalable architecture that can be integrated into multiple head reconstruction methods, allowing for customized applications in different applications such as gaming, AR/VR, and virtual reality.",FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,No,No,Contribution,0,0.8
It proposes a novel monocular video reconstruction method integrating sampling-based densification strategy to improve rendering quality and processing efficiency.,FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,No,No,Contribution,0,0.8
It introduces a novel method for editing and completion of a full head avatar to address the non-frontal challenge.,FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,Yes,No,Contribution,1,0.8
It proposes a universal framework for 3D head reconstruction that is scalable and customizable for different tasks.,FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,No,No,Contribution,0,0.8
The use of FATE allows researchers to leverage the existing multimodal training frameworks like 3D-Gaussian Splatting (3DGS) and improve the quality of the intermediate results.,FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,Yes,No,Methodology,1,0.8
"FATE also encourages researchers to reexamine the head pose estimation and model training approaches, leading to novel insights.",FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,No,No,Motivation,0,0.8
"FATE's approach does not rely on pre-training lengthy models like 3D-Gaussian Splatting, making it more cost-effective and scalable in application.",FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,Yes,No,Methodology,1,0.8
"FATE's contribution is significant, as it addresses the key challenges in head reconstruction, such as pose estimation, model inefficiency, and pose variability, making it a promising method for improving head avatar reconstruction techniques.",FATE: Full-head Gaussian Avatar with Textural Editing from Monocular Video,Yes,No,Contribution,1,0.8
"In this paper, we introduce FruitNinja, a novel method for generating internal structures (interior textures) in 3D models using a combination of geometric and topological changes.",FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Paper Goal,0,0.8
"The paper presents a detailed methodology for developing FruitNinja, including its initial pre-processing and training steps.",FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Paper Goal,0,0.8
We provide a comprehensive overview that outlines both the initial approach and the actions required to create the final implementation.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Paper Goal,0,0.8
We start with a 3D Gaussian Splatting (3DGS) model that is already built upon the existing algorithms.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Methodology,0,0.8
The primary objective is to leverage the strengths of 3DGS by taking advantage of its explicit structured representation and density control.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,Yes,No,Methodology,1,0.8
We define the input data for FruitNinja.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Methodology,0,0.8
We start by defining 32 cross-sectional views (defined by different cutting planes) as input data.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,Yes,Methodology,1,0.8
"For each of these views, we generate a reference cross-sectional view (which is the input data) using the pre-trained diffusion model.",FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Methodology,0,0.8
We initialize the internal structure of the 3DGS model by creating a set of internal seeds (hardcoded through PhysGaussian).,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Methodology,0,0.8
These seeds are then filled in using the pre-trained diffusion model for the construction of the internal structures.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Methodology,0,0.8
We apply progressive refinement across the cross-sectional views using the pre-trained diffusion model to refine the internal structures while simultaneously keeping the generation process smooth.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Methodology,0,0.8
We design the generator architecture to focus on the generation of textures by using the pre-trained diffusion model.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Methodology,0,0.8
"The generator uses a blend of neural representations such as ""point cloud"" and ""grid"" to create a smooth yet realistic texture.",FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,Yes,No,Methodology,1,0.8
We use the pre-trained diffusion model for optimization to generate the internal texture.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Methodology,0,0.8
This optimization process ensures that the internal structures are learned while the original surface representations remain unchanged.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Methodology,0,0.8
We evaluate the effectiveness of the pre-trained diffusion model using a variety of 3DGS datasets.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,Yes,No,Main Results,1,0.8
We summarize the experimental results and conclusions.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Main Results,0,0.8
FruitNinja is a novel method for creating internal textures in 3D models using a combination of geometric and topological changes.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Contribution,0,0.8
We start with a pre-trained 3DGS model that has been built upon the existing algorithm.,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Methodology,0,0.8
We define the input data for FruitNinja using a set of cross-sectional views (defined by different cutting planes).,FruitNinja: 3D Object Interior Texture Generation with Gaussian Splatting,No,No,Methodology,0,0.8
"In this paper, we propose Gaussian Head Avatar, a novel representation that utilizes controllable 3D Gaussians to model expressive human head avatars.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,No,Contribution,0,0.8
"The method efficiently scales up to 2k resolution, surpassing prior lightweight sparseview approaches in terms of both accuracy and performance.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,No,Main Results,0,0.8
"The method significantly outperforms existing state-of-the-art methods in terms of both highfidelity synthesis quality and training time, achieving superior results even under exaggerated expressions.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,Yes,No,Main Results,1,0.8
"Gaussian Head Avatar uses 3D Gaussians for object-level representation, capturing complex expressions.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,No,Contribution,0,0.8
We propose a well-designed geometry-guided initialization strategy based on implicit SDF and Deep Marching Tetrahedra for the geometry-guided initialization.,Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,No,Contribution,0,0.8
"We leverage the probabilistic nature of deep learning to design a flexible and expressive 3D Gaussain representations, significantly improving the model's flexibility, accuracy, and training efficiency.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,Yes,Contribution,1,0.8
"Mesh guidance model, including a guidance mesh guidance network.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,No,Methodology,0,0.8
"Mesh and deformation MLPs, with corresponding MLPs for expression and pose.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,No,Methodology,0,0.8
Coordinate warping for mesh pose estimation.,Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,Yes,Methodology,1,0.8
2k resolution rendering.,Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,No,Methodology,0,0.8
"We compare the performance of 12 different methods on self reenactment task (NeRFace, NeRFace, HAvatar, NeRSemble, etc.) and compare our method with existing SOTA methods in qualitative experiments.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,Yes,No,Main Results,1,0.8
"NeRFace achieves top-1 accuracy and top-5k precision, while our method achieves top-1 and top-10k precision respectively.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,Yes,Main Results,1,0.8
"NeRFace achieves top-10k mean accuracy, top-5k mean precision, and top-10k mean precision.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,Yes,Main Results,1,0.8
"NeRFace: 10k,200k, 500k loss.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,Yes,Main Results,1,0.8
"NeRFace, NeRFace, HAvatar, NeRSemble, etc.: 10k, 50k, 500k loss.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,Yes,Main Results,1,0.8
"Our method can reconstruct high-resolution images of detail like hair, beard, etc., with a high quality.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,No,Main Results,0,0.8
We compare with existing state-of-the-art methods in self reenactment task.,Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,No,Main Results,0,0.8
"Our method significantly outperforms the state of the art methods in terms of both highfidelity synthesis quality and training time, achieving superior results even under exaggerated expressions.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,Yes,No,Main Results,1,0.8
"The underlying challenge of modeling high-frequency, dynamic details in highly detailed human faces is challenging.",Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,No,No,Motivation,0,0.8
The concept of Frame-wise Conditions-driven Video Generation (FCVG) was inspired by the previous work in video generation models.,Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Motivation,0,0.8
The authors introduce the concept of Frame-wise Conditions-driven Video Generation (FCVG).,Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Contribution,0,0.8
"FCVG provides explicit conditions for each frame, making it easier to identify the interpolation path between two input frames.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Methodology,0,0.8
"The authors argue that the existence of many input pairs (Istart, Iend) requires a structured way to encode such conditions.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,Yes,No,Motivation,1,0.8
"The authors propose FCVG, a method that provides frame-wise conditions for video generation models.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Contribution,0,0.8
"The authors collect diverse scenes from DAVIS dataset, add two key frames to I2V models and fine-tune Ours model.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Methodology,0,0.8
"FCVG is compared with the methods of FILM, SVD, TRF, and our method.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,Yes,No,Main Results,1,0.8
"FCVG achieves superior results across various metrics such as LPIPS, FID, VBench, and FVD.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Main Results,0,0.8
It is compared with the methods of SVD and Ours.,Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,Yes,No,Main Results,1,0.8
FCVG presents a novel solution to the challenge of inbreeding in video generation models.,Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Paper Goal,0,0.8
"Overall, the authors demonstrate that FCVG offers promising results in terms of temporal stability, making it a significant step forward in the field of video generation models.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Main Results,0,0.8
"In this research, we propose a novel approach for monocular head avatar reconstruction using 3D Gaussian Splatting (3DGS).",HRAvatar: High-Quality and Relightable Gaussian Head Avatar,No,No,Contribution,0,0.8
"The aim is to alleviate the challenges of monocular video recognition by combining the strengths of 3D Gaussian point models with other methods like FLAME, PointAvatar, PointSplat, INSTA, and 3D-Gaussian-GS.",HRAvatar: High-Quality and Relightable Gaussian Head Avatar,Yes,No,Motivation,1,0.8
"This approach enables better tracking of expressions and poses, thereby reducing the impact of inaccuracies in the tracking process, leading to more accurate and highly realistic 3D avatar reconstructions.",HRAvatar: High-Quality and Relightable Gaussian Head Avatar,No,No,Contribution,0,0.8
"Head reconstruction reduces the representation error by end-to-end optimization and better capturing individual facial deformations, which are difficult for monocular video recognition.",HRAvatar: High-Quality and Relightable Gaussian Head Avatar,No,No,Motivation,0,0.8
HRAvatar can achieve high quality while being realistic using effective modality modeling.,HRAvatar: High-Quality and Relightable Gaussian Head Avatar,No,No,Motivation,0,0.8
The paper provides a new and meaningful application of head reconstruction for monocular video recognition.,HRAvatar: High-Quality and Relightable Gaussian Head Avatar,No,No,Motivation,0,0.8
Propose HRAvatar for 3DGS-based head avatar reconstruction.,HRAvatar: High-Quality and Relightable Gaussian Head Avatar,No,No,Paper Goal,0,0.8
"Describe the main aspects of the method (3DGS, 3DGS-based head reconstruction, 3DGS-based models).",HRAvatar: High-Quality and Relightable Gaussian Head Avatar,No,No,Paper Goal,0,0.8
"Discuss the architecture and algorithm (learnable parameters, learnable mix operations, learnable blending operations, layer-wise operations).",HRAvatar: High-Quality and Relightable Gaussian Head Avatar,No,Yes,Methodology,1,0.8
Apply the methods to experimental results.,HRAvatar: High-Quality and Relightable Gaussian Head Avatar,No,No,Paper Goal,0,0.8
Validate the results.,HRAvatar: High-Quality and Relightable Gaussian Head Avatar,No,No,Paper Goal,0,0.8
"The paper proposes to leverage the strengths of 3DGS (tooling, template, and consistency) to reduce the computational cost and achieve good performance.",HRAvatar: High-Quality and Relightable Gaussian Head Avatar,Yes,No,Methodology,1,0.8
"3DGS-based head avatar reconstruction is successfully validated in the experiments, emphasizing the potential of 3DGS-based methods for head avatar reconstruction.",HRAvatar: High-Quality and Relightable Gaussian Head Avatar,No,No,Main Results,0,0.8
The quantitative results of HRAvatar demonstrate superior real-time performance and better quality reconstruction.,HRAvatar: High-Quality and Relightable Gaussian Head Avatar,No,No,Main Results,0,0.8
"HumanMesh recovery is a challenging task in 3D human motion reconstruction, where accurate large-scale dataset is extremely lacking.",HumanMM: Global Human Motion Recovery from Multi-shot Videos,Yes,No,Motivation,1,0.8
"In this paper, we introduce HumanMM, a novel framework that addresses the challenges through the combined of human pose estimation, robust camera estimation, and multi-shot alignment.",HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,No,Contribution,0,0.8
HumanMM is a framework that can integrate the existing HMR methods while focusing on multi-shot alignment.,HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,No,Contribution,0,0.8
"We propose a new algorithm called X-A-T-R-E, where X represents the detection of shot transitions, A represents the initialization of SMPL parameters, T represents the initialization of camera pose, and R represents the alignment between frames in the world coordinates.",HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,Yes,Methodology,1,0.8
We start with a pre-trained model to identify the transition between consecutive frames.,HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,No,Methodology,0,0.8
"Next, we process the transition detection to extract the motion features (2D keypoints, bounding boxes, and keypoints).",HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,No,Methodology,0,0.8
"In the first step, we pre-process the images using the detection algorithm to annotate the box and keypoints, then we detect the transition between consecutive frames.",HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,No,Methodology,0,0.8
"From the transition, we can obtain the most relevant transition frames.",HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,No,Methodology,0,0.8
"We initialize the SMPL parameters using the optimized pose estimation methods such as DROID-SLAM, DPVO, and DALL·E.",HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,Yes,Methodology,1,0.8
"We then use the robust camera estimation method such as Longendo, DALL·E, or CamVHA.",HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,Yes,Methodology,1,0.8
"We align the frames in the world coordinates using a custom motion integrator such as DynamicTwin, DynamicTwin, or DualPose.",HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,Yes,Methodology,1,0.8
We use the multi-shot alignment module to align the frames in world coordinates.,HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,No,Methodology,0,0.8
The motivation behind this framework is to leverage the strengths of existing methods to improve the reconstruction quality of human motion in long-sequence videos.,HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,No,Motivation,0,0.8
We aim to avoid the loss of temporal consistency and continuity in the human body pose and orientation.,HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,No,Motivation,0,0.8
"We evaluate HumanMM on a multiple-shot multi-view dataset where each video has unique signature, such as long shots, close-ups, or sudden transitions in the camera views, to demonstrate its robustness to scene changes and abrupt transitions in the cameras.",HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,No,Methodology,0,0.8
"In the evaluation, we obtain the best performance in 3D landmark tracking per user reported by the human user, the human user report is more likely to lead the development of the multiple shot training method and realize scenes with human-like movements.",HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,Yes,Main Results,1,0.8
Our framework can reconstruct 3D human motion even when we increase the number of frames in video by less than 20%.,HumanMM: Global Human Motion Recovery from Multi-shot Videos,No,Yes,Main Results,1,0.8
"In this work, we introduce LEDE (Learning Regularly Rearranged Object Data).",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,Yes,Contribution,1,0.8
LEDE is a novel method for learning regular room rearrangement.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,Yes,No,Contribution,1,0.8
LEDE is based on Denoising Diffusion Models (DDMs).,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,Yes,No,Methodology,1,0.8
We leverage the benefits of DDMs such as robustness to noise and limited reconstruction loss for our approach.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,Yes,No,Methodology,1,0.8
"LEDE is overall composed of a Data-Driven Transformer Architecture which is trained using the adversarial method, which involves perturbing the original and perturbed data to generate denoised data.",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,Yes,No,Methodology,1,0.8
We learn from data the regularity rules that govern the desired state of the room.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Methodology,0,0.8
"The DDM-based deterministic approach allows for large-scale flexible data generation, and allows us to learn regularities without manually specifying the goal state.",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,Yes,No,Methodology,1,0.8
We learn the object transformations to learn the rearrangement rule.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Methodology,0,0.8
Humans generally adhere to very strict criteria when doing tasks such as cleaning up a messy room.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Motivation,0,0.8
There is a vast amount of existing data on the topic of scene rearrangement problems.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,Yes,No,Motivation,1,0.8
It is hard to devise a governance system to specify the goal state in the current scene.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,Yes,No,Motivation,1,0.8
Many existing models are based on the principles of scene synthesis or scene rearrangement.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Motivation,0,0.8
